name,salary,currency,experience,location,skills,link,industry,source
Lead Data Analyst,3000.0,USD,3-5,Санкт-Петербург/ Россия,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/69383f88e6cc381065092342,Логистика и транспорт,geekjob
System Analyst,9000.0,USD,3-5,Санкт-Петербург,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/6911f051e74ba724ff093dd8,SaaS/PaaS,geekjob
Web & App Analyst,3000.0,EUR,1-3,Санкт-Петербург,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/69247652224f5aa99d09bd40,"Консалтинг, профессиональные услуги",geekjob
Dana Analyst,140000.0,RUB,5,не РФ/РБ,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/693c06ebe288ea48db0c6764,Data Analysis,geekjob
Head of Analytics / Lead Analyst (Fintech),500000.0,RUB,3-5,Удалённо (исключая РФ и Беларусь),"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/6913a86143f9ab26710c2f5f,Банковская и страховая сфера,geekjob
Market Analyst iGaming (Analytics Content),60000.0,RUB,0,Санкт-Петербург,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/691dbcf012bbfd2e77072f25,"Консалтинг, профессиональные услуги",geekjob
Machine Learning Engineer,500000.0,RUB,5,не РФ/РБ,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/693c0ab95dcc1817cc07a093,ML/AI,geekjob
BI Аналитик,130000.0,RUB,3-5,Санкт-Петербург/ Россия,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/69390be0fb140711b30d8e37,Системная интеграция,geekjob
Data Scientist,300000.0,RUB,1-3,Москва/ Россия,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/69383998a77789b7630d49f2,Банковская и страховая сфера,geekjob
Data Engineer,500000.0,RUB,1-3,Спартак Москва,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/69380bbdb4849af83f0a0ff3,Data Analysis,geekjob
Аналитик данных Middle/Middle+ (power bi),160000000.0,RUB,1-3,Москва/ Россия,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/692719281b2e75e81e088f76,Data Analysis,geekjob
Data Engineer (Middle),300000.0,RUB,1-3,Москва/ Россия,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/6936c2aa747697ea740a2a92,Ecommerce,geekjob
,,,,,,https://geekjob.ru/vacancy/6932a034dbb3b32ec20ce982,,geekjob
Аналитик DWH,130000.0,RUB,3-5,Санкт-Петербург,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/693127af1430309b2a058bc3,Банковская и страховая сфера,geekjob
Business/System Analyst / Бизнес/Системный аналитик,130000.0,RUB,3-5,Россия,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/69301e4bdb6ea017010b8422,Gamedev,geekjob
Data Engineer,500000.0,RUB,3-5,Лимассол/ Кипр,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/692ed1832a1546300806ca75,Ecommerce,geekjob
Senior/Lead Marketing Analyst (Gamedev),,,0,Россия,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/692d94653e4d2eb46e0825a6,Gamedev,geekjob
Аналитик (Junior+),1000.0,USD,1-3,Санкт-Петербург/ Россия,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/692d78497e31324c18011142,Gamedev,geekjob
Middle Data Scientist,300000.0,RUB,3-5,Санкт-Петербург,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/692d704e692b0dcb9b070466,Заказная разработка,geekjob
,,,,,,https://geekjob.ru/vacancy/692b652f1a3b996d40059d92,,geekjob
Аналитик данных Middle/Middle+ (power bi),160000.0,RUB,1,Чебоксары/ Россия,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/69282c932df38619e10f1e36,Торговля и общепит,geekjob
Middle/Middle+ Аналитик данных,140000.0,RUB,0,Санкт-Петербург/ Россия,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/6928018a5c6428734b00a402,Data Analysis,geekjob
,,,,,,https://geekjob.ru/vacancy/6925d1c99697116d3f09dd53,,geekjob
Middle Data Scientist,300000.0,RUB,3-5,Россия,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/6924370d70915f615b054af4,Data Analysis,geekjob
