name,salary,currency,experience,location,link,skills
Аналитик данных,600000,KZT,0,Астана / Казахстан,https://hh.ru/vacancy/127247637,
Senior ML / Data Scientist,3500,USD,3–6,Минск / Беларусь,https://hh.ru/vacancy/128152732,"Python, pandas, XGBoost, SciPy, Numpy, PostgreSQL, CatBoost, Deep Learning, Jupyter Notebook, PyTorch, Scikit-learn"
AI/ML инженер,150000,KZT,3–6,Алматы / Казахстан,https://hh.ru/vacancy/128004586,"Python, Обучение и развитие, Docker"
Data Engineer,300000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127592911,"Iceberg, Clickhouse, Spark, Apache Airflow"
Middle+ / Senior ML-инженер,220000,RUB,6,Санкт-Петербург / Россия,https://hh.ru/vacancy/117997535,"Big Data, pandas, Математическая статистика, SQL, Git, ETL, Hadoop, Java, Python, Groovy, Atlassian Jira, Atlassian Confluence, Английский — B2 — Средне-продвинутый"
ML-инженер/Team Lead,300000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127999005,
Аналитик данных,350000,KZT,1–3,Алматы / Казахстан,https://hh.ru/vacancy/127994928,"Анализ данных, Аналитическое мышление, Основы баз данных, Работа с большим объемом информации, Маркетинговые метрики, Формирование аналитической отчетности, Предобработка данных, Визуализация данных, Исследовательский анализ данных, SQL, Power BI, Извлечение данных, Интерпретация данных"
Senior ML Engineer / Data Scientist,250000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127732252,"ML/DL/CV, FastAPI, TensorFlow, PyTorch, Transformers, OpenCV, Numpy, LangChain, YOLO, Linux, Ubuntu"
Data Analyst / Product Analyst,250000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127927930,"SQL, Анализ данных, Tableau, Python, R, Английский — A2 — Элементарный"
Бизнес-аналитик,700000,KZT,3–6,Алматы / Казахстан,https://hh.ru/vacancy/128129045,
Senior ML engineer,5000,USD,3–6,Москва / Россия,https://hh.ru/vacancy/128082016,"Dota 2, ML-инженер, технологии ИИ, Python, PyTorch, Numpy, ONNX, ООП, FAISS, AWS, Нейронные сети, Attention, CNN, Статистика, self-supervised learning"
Senior Data Engineer (Web3),4000,USD,3–6,Москва / Россия,https://hh.ru/vacancy/127991129,"Python, Big Data, ETL, Apache Spark, PostgreSQL, Apache Kafka"
ML-разработчик,250000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127993870,"NLP, LLM, Извлечение данных, Обучение и развитие, FastAPI, PyTorch, Numpy"
Бизнес-аналитик (Системный аналитик),600000,KZT,3–6,Астана / Казахстан,https://hh.ru/vacancy/128134089,
Ведущий бизнес аналитик,124000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/127479412,
Ведущий бизнес аналитик,124000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/127479179,
Аналитик данных,50000,RUB,0,Москва / Россия,https://hh.ru/vacancy/126685778,"Power BI, MS Excel, Анализ данных, Работа с большим объемом информации, Miro, MS Word, MS PowerPoint"
"Data Analyst (Product, Marketing)",200000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/126749984,"Python, SQL, Анализ данных"
Middle+ / Senior Data-аналитик,200000,RUB,6,Новосибирск / Россия,https://hh.ru/vacancy/127115677,"Big Data, pandas, Математическая статистика, SQL, Git, ETL, Hadoop, Java, Python, Groovy, Atlassian Jira, Atlassian Confluence, Английский — B2 — Средне-продвинутый"
Бизнес-аналитик / Консультант 1С,163000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127360818,"1С программирование, Анализ данных, Базы данных, 1С, Разработка технических заданий, Постановка задач разработчикам, ERP-системы на базе 1С, Электронный документооборот, Аналитика, Моделирование бизнес процессов, Консультирование пользователей"
Аналитик данных,50000,RUB,1–3,Нижнем Новгороде,https://hh.ru/vacancy/127920957,"Анализ данных, Аналитическое мышление, Работа с большим объемом информации, Основы баз данных, Google Docs"
ML Engineer,121000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127256613,"ML, Deep Learning, Python, Docker, ООП, Git, LLM, MySQL"
Аналитик данных,80000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127779299,
Бизнес-аналитик,120000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128102508,
Бизнес-аналитик,200000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127335173,
ML-инженер,250000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128191210,
Аналитик данных,150000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127526241,"Анализ данных, Аналитическое мышление, Работа с большим объемом информации, Исследовательский анализ данных, Интерпретация данных, Бизнес-анализ, Финансовые показатели"
Аналитик данных,125000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/128075546,"Статистика, Аналитические исследования, Аналитика, Анализ данных, Базы данных, Государственные структуры, MS Excel"
Аналитик данных/Data Analyst,150000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127368882,
Аналитик данных (BI),90000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/127335069,"Аналитическое мышление, Анализ данных, E-Commerce, Power BI"
Бизнес-аналитик,100000,RUB,1–3,Новосибирск / Россия,https://hh.ru/vacancy/127775070,
Data аналитик,400000,RUB,6,Москва / Россия,https://hh.ru/vacancy/128080815,
Бизнес-аналитик,150000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127519119,
Бизнес-аналитик,150000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/107383704,"Грамотная речь, Аналитическое мышление, Управление производством, Сбор и анализ информации, Моделирование бизнес-процессов, Подготовка презентаций, Разработка проектной документации, UML, BPMN, MS SQL, MS PowerPoint, MS Visio, MS Word, MS Excel, ERP, EAM, ECM, MDM, Figma, ГОСТ 34, РД 50-34"
Старший инженер данных отдела разработки аналитических систем,300000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/124816261,"ETL, Clickhouse, Greenplum, Apache Airflow, SQL, Apache Kafka"
Data analyst / Аналитик данных (ученик),90000,RUB,0,Санкт-Петербург / Россия,https://hh.ru/vacancy/128094195,"Python, SQL, NoSQL, Big Data, Data Engineer, Математический анализ, Математическая статистика, Алгоритмы и структуры данных, Статистика"
Бизнес-аналитик,350000,KZT,1–3,Алматы / Казахстан,https://hh.ru/vacancy/127273769,
Ведущий аналитик / data Engineer / аналитик данных (middle),100000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127213450,
Data Engineer,300000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/128172886,
Data Engineer,170000,RUB,1–3,Новосибирск / Россия,https://hh.ru/vacancy/127476893,"ETL потоки, Python, SQL, Анализ требований, REST API"
Data Engineer/разработчик oracle DWH,200000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127722544,"ORACLE, SQL, ETL, Apache Airflow, PostgreSQL"
Data Analyst Intern / Стажер-аналитик данных,100000,RUB,0,Москва / Россия,https://hh.ru/vacancy/128081806,"Python, SQL, Hadoop, Azure, Английский — B2 — Средне-продвинутый"
Data-Аналитик в Управление маркетингом,200000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128148679,"Internet Marketing, Google Analytics, Яндекс.Метрика, Веб-аналитика, MS Outlook, Internet, Мобильность, API, RFM-анализ, MS SQL, PostgreSQL, Data Analysis"
Data Analyst в управление комплаенс,155000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/126100450,"SQL, Python, Hadoop, Математическая статистика, Теория вероятностей, Линейная алгебра, Data Analysis"
Бизнес-аналитик (AML),200000,RUB,3–6,Новосибирск / Россия,https://hh.ru/vacancy/127768442,"Camunda, BPMN, JSON, AML, ПОД/ФТ"
Бизнес-аналитик,3000,BYN,1–3,Минск / Беларусь,https://hh.ru/vacancy/128221469,"Бизнес-анализ, Автоматизация управленческой отчетности, Внутренний аудит, План-факт анализ, Контроль и анализ ценообразования, Оценка рисков, Аудиторские проверки"
Бизнес-аналитик 1С (УНФ) в компанию 1С:Франчайзи,120000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/126222296,"1C: ERP, ERP, 1С: Управление Торговлей, 1С: Комплексная автоматизация"
Аналитик данных,150000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127212800,"SQL, Анализ данных, Аналитическое мышление, Работа с большим объемом информации, Исследовательский анализ данных"
Аналитик данных,100000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128161697,
Аналитик данных,180000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128159108,"Анализ данных, SQL, PostgreSQL, Clickhouse, DataLens, Grafana, Продуктовые метрики, Бизнес метрики, A/B тесты, Когортный анализ, Анализ поведения пользователей, Python, pandas, Jupyter Notebook, Apache Airflow, Ad-hoc тестирование"
Аналитик данных,150000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127212800,"SQL, Анализ данных, Аналитическое мышление, Работа с большим объемом информации, Исследовательский анализ данных"
Аналитик данных,100000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128161697,
Аналитик данных,180000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128159108,"Анализ данных, SQL, PostgreSQL, Clickhouse, DataLens, Grafana, Продуктовые метрики, Бизнес метрики, A/B тесты, Когортный анализ, Анализ поведения пользователей, Python, pandas, Jupyter Notebook, Apache Airflow, Ad-hoc тестирование"
Бизнес-аналитик (Bitrix24),139000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/125963276,"Оптимизация бизнес-процессов, Анализ данных, Коммуникабельность, Стрессоустойчивость, Деловая коммуникация, Ответственность, Исполнительность"
Бизнес-аналитик,500000,KZT,1–3,Алматы / Казахстан,https://hh.ru/vacancy/127767815,"Аналитическое мышление, SQL, Моделирование бизнес-процессов, Оптимизация бизнес-процессов, MS Excel, Разработка технических заданий, Казахский — B1 — Средний, Английский — B1 — Средний"
Senior Data Engineer,2000,USD,3–6,Москва / Россия,https://hh.ru/vacancy/127263812,"SQL, Python, SciPy, Data Analysis, Big Data, Математическая статистика, ui/ux, JSON, Статистический анализ, Корреляционный анализ, Визуализация данных, pandas"
