,name,salary,currency,experience,location,skills,extra_data,link,isparsing
0,Аналитик данных (data-analyst + BI-analyst) в службу бизнес аналитики и планирования,0,RUB,1,Москва,SQL,0,https://russia.superjob.ru/vakansii/analitik-dannyh-51256838.html,1
1,Data Science,0,RUB,0,0,0,0,https://russia.superjob.ru/vakansii/it-internet-svyaz-telekom/data-science/,1
2,Бизнес-аналитик,0,RUB,1,Москва,0,"Обязанности:, Коммуникации с бизнес-владельцами процессов, функциональными заказчиками и ключевыми пользователями;, Аналитика текущего состояния бизнес-процессов, описание моделей существующих бизнес-процессов («as is», «to be»), выявление и анализ проблем по ним, определение ключевых метрик результативности;, Работа с требованиями к автоматизации (сбор, систематизация, приоритизация, ТЗ), валидация в рамках ИТ-проектов;, Разработка тестовых сценариев, участие в тестировании и сопровождение пользовательского тестирования;, Подготовка документации: от функционального дизайна до инструкций;, Обеспечение внедрения изменений;, Создание и актуализация базы нормативных документов;, Проведение демо бизнес-заказчикам;, Консультирование пользователей по работе с системой, обучение новому функционалу., Требования:, Опыт работы бизнес аналитиком/консультантом-аналитиком от 3 лет;, Реализованные проекты в ритейле, логистике, финансах, e-commerce;, Знание основных процессов и операционных показателей ритейла;, Знание цикла разработки;, Опыт постановки задач команде разработки;, Высокий уровень самостоятельности;, Знание средств моделирования бизнес-процессов, принципов разработки инструкций, регламентов и пр;, Опыт работы с интеграциями (веб-сервисы REST, SOAP, очереди сообщений, брокеры);, Знание форматов обмена данных JSON, XML;, Опыт работы с различными СУБД., Условия:, Стабильность и гарантии — оформление в соответствии с ТК РФ;, Своевременная выплата заработной платы: оклад + премия квартальная;, Место работы: БЦ «Омега Плаза», ул. Ленинская слобода, д. 19;, График работы: 5/2 с 9.00 до 18.00;, Гибридный формат работы после испытательного срока (3 дня в офисе, 2 дня удаленно);, Полис ДМС через 3 месяца работы в компании;, Скидки на покупки в сети магазинов «Подружка», скидки у компаний партнеров;, Доступ к сервису корпоративных скидок и привилегий Best Benefits;, Корпоративная жизнь с праздниками, подарками и мероприятиями",https://russia.superjob.ru/vakansii/biznes-analitik-51320697.html,1
3,Бизнес-аналитик / Стажер,0,RUB,0,Москва,0,"О команде, , Мы развиваем дата-продукты VK Tech — решения для сбора, хранения и работы с большими данными. Наш портфель включает продукты для локального и облачного развёртывания, а клиентская база охватывает всех — от крупнейших банков до государственных компаний., , Ключевые задачи, , Исследование рынка: поиск, сбор и анализ информации о компаниях в сфере Big Data, AI и ML, Участие во внутренних исследованиях рынка и продуктов, Подготовка регулярных отчётов и аналитики по продуктовым метрикам, Создание материалов о продуктах для смежных команд (продажи, маркетинг), Мониторинг планов развития глобальных игроков и локальных конкурентов, Ведение и актуализация базы знаний о продуктах направления, Требования к кандидату, , Интерес к IT-продуктам и их развитию, Готовность погружаться в технические особенности продуктов и аналитику, Желание развиваться в направлениях: аналитика, стратегия, исследования, продуктовый менеджмент, Способность к совместной работе с техническими экспертами, маркетологами и продакт-менеджерами, Будет преимуществом, , Участие в кейс-чемпионатах, Мы предлагаем, , Команда: Работа с ведущими экспертами индустрии, готовыми делиться опытом, , Проекты: Участие в разработке 200+ технологических продуктов, которые используют свыше 95% аудитории Рунета, , Оснащение:, , Специализированные гаджеты, Дополнительные мониторы для комфортной работы, Развитие:, , Митапы, конференции и семинары, Профессиональные тренинги, Здоровье и комфорт:, , Фреш-бар с овощами и фруктами, Спортивный зал с тренажёрами, Офис в 5 минутах от метро, Крытый паркинг и велопарковка, Летний прокат велосипедов, лонгбордов и самокатов, Корпоративная культура:, , Мастер-классы и тимбилдинги, Совместные просмотры кино, Участие в VK Fest",https://russia.superjob.ru/vakansii/biznes-analitik-51547017.html,1
4,Бизнес-аналитик,0,RUB,0,Москва,"Аналитическое мышление, Анализ данных, Оптимизация бизнес-процессов",0,https://russia.superjob.ru/vakansii/biznes-analitik-29171369.html,1
5,Бизнес-аналитик (Управление Состоятельные клиенты),0,RUB,1,Москва,0,"Обязанности:, формирование требований для IT-команды, включая команду моделирования;, проектирование клиентского пути (CJM) и выявление точек улучшения UX на основании трендов клиентского опыта;, сбор и анализ метрик, а также обратной связи от пользователей для развития продукта;, проведение исследования рынка, целевой аудитории и потребностей клиентов;, формирование стратегии и видения продукта, управление бэклогом изменений;, систематизация и оптимизация бизнес-процессов, подготовка бизнес-требований и технической документации;, участие в развитии решений с применением ML-моделей, рекомендательных сервисов и LLM;, работа с отчетностью, финансовыми моделями и взаимодействие с продуктовыми аналитиками., Требования:, опыт в бизнес-аналитике или продакт-менеджменте от 3-х лет;, навыки проектирования IT-решений и улучшения клиентского опыта;, знания в области финансов, инвестиций, wealth management, private banking, financial advising;, опыт работы с SQL и/или Python;, понимание основ системного анализа, data science (как преимущество).",https://russia.superjob.ru/vakansii/biznes-analitik-51255408.html,1
6,Бизнес-аналитик (Стрим Состоятельные клиенты),0,RUB,1,Москва,0,"Обязанности:, формирование и проработка требований для ИТ-команды, включая команду моделирования;, проектирование клиентского пути и выявление точек улучшения UX;, сбор и анализ метрик, а также обратной связи от пользователей для развития продукта;, участие в развитии решений с применением data science (ML, рекомендательные сервисы, LLM)., Требования:, опыт работы в бизнес-аналитике или продакт-менеджменте от 3-х лет;, навыки создания продуктов и проектирования IT-решений;, понимание принципов UX/UI, Data Science;, базовые навыки системного анализа, а также SQL или Python (как преимущество).",https://russia.superjob.ru/vakansii/biznes-analitik-51255397.html,1
7,Старший бизнес-аналитик (Департамент финансового урегулирования),0,RUB,1,Москва,0,"Обязанности:, развитие и формирование операционной и управленческой отчетности по направлению финансового урегулирования;, формирование регулярного и качественного расчета мотивационных показателей сотрудников;, подготовка бизнес-отчетности для оценки эффективности работы Контрагентов Банка;, реализация пилотных проектов для повышения эффективности работы подразделения., Требования:, опыт работы в Collection (банки, коллекторские агентства, МФО);, знание правовой базы, процессов, показателей и метрик работы с проблемными/непрофильными активами физических лиц;, навыки проведения самостоятельных аналитических исследований;, продвинутое знание SQL, уверенное знание Python и MS Office;, опыт в Apache Spark, Hive, Spark SQL - как преимущество.",https://russia.superjob.ru/vakansii/starshij-biznes-analitik-51255263.html,1
8,CJE / Бизнес-аналитик (Департамент по работе с премиальными клиентами),0,RUB,3,Москва,0,"Обязанности:, взаимодействие с заказчиками и владельцами процессов для описания текущего состояния (AS IS);, разработка целевой модели процессов (TO BE), проведение реинжиниринга и оптимизации;, подготовка бизнес-требований и технической документации для команды разработки;, ведение и приоритизация бэклога изменений;, прием доработок и контроль соответствия реализованного решения бизнес-логике., Требования:, опыт анализа и аудита бизнес-процессов;, навыки моделирования и проектирования (BPMN, IT-архитектура);, владение инструментами: MS Visio, MS Excel, Power BI, SQL;, опыт подготовки бизнес-требований и технических заданий;, практические навыки реинжиниринга и автоматизации процессов.",https://russia.superjob.ru/vakansii/cje-51255388.html,1
9,"Бизнес-аналитик/ СJE (Разработка бизнес процессов, запуск и изменение банковских продуктов)",0,RUB,1,Москва,0,"Обязанности:, участие в разработке ценностного предложения и развития продуктовых сервисов текущего счета и карточных продуктов;, запуск новых продуктов, внесение изменений в действующие продукты на основе гипотез, подтвержденных метриками;, анализ и формирование целевых бизнес-процессов клиентского пути, формирование и согласование бизнес-требований, участие в проектировании процессов в составе бизнес и IT-команд;, построение партнерского взаимодействия с другими бизнес-сегментами банка/ стримами, постановка задач смежным командам;, участие в контроле качества разработки и выполнения исполнителями задач бэклога;, тестирование гипотез/ построение CJM пользователей;, исследование рынка и улучшение клиентского опыта;, методологическое сопровождение внедряемых бизнес-процессов., Требования:, навык написания бизнес-процессов (дорожные карты/ бизнес логика/ схемы процесса);, опыт работы в кросс-функциональных командах, знание базовых принципов работы Agile;, компетенции в разработке бизнес-продуктов/ IT-проектов;, опыт работы в банковском секторе.",https://russia.superjob.ru/vakansii/biznes-analitik-51323887.html,1
