name;currency;experience;location;skills;link
Data Science;USD;3-5;Kolkata;data analytics, functional analysis, predictive analytics, data science, solution design;n/a
Head Data Science;USD;10-15;Mumbai;data analytics, big data analytics, consulting, data science;n/a
Data Science Expert-;USD;5-7;Chennai;data analysis, sas, predictive analytics, linear regression, spss, sql, tableau, data science, use cases, data visualization;n/a
Manager Data Science;USD;7-11;Bengaluru;data analysis techniques, statistical modelling expertise, business problem understanding, team management capability, report automation skills, python, sas, data mining, team player, machine learning;n/a
Data Science Manager;USD;5-8;Bengaluru;data analytics techniques, project management skills, communication skills, stakeholder engagement, advanced modelling techniques, commerce, reporting, finance;n/a
Data Science;USD;7-12;Chennai, Hyderabad/Secunderabad;ai, ml solutions, data science expertise, systems integration, software development, production maintenance, prototyping, cutting;n/a
Advisor Data Science;USD;12-15;Bengaluru;data science leadership, project management strategies, machine learning expertise, statistical analysis techniques, team development coaching, bi, business solutions, data scientist, data analytics, business analytics, predictive modeling, project delivery;n/a
Senior Data Science;USD;3-7;San Francisco, New York City;machine learning techniques, data preparation skills, predictive modeling, stakeholder engagement, data visualization, mathematics, economics, operations research, science, statistics;n/a
Data Science Manager;USD;5-7;Bengaluru;data analysis, project management, banking expertise, analytical insights, data science, consulting, infrastructure, project delivery, data scientist;n/a
Director, Data Science;USD;1-4;Bengaluru;data science expertise, ai, ml solutions, sql and python, customer engagement, team leadership, artificial intelligence, technical skills, director, machine learning;n/a
Data Science Director;USD;5-8;Chennai;data analytics, big data analytics, director, consulting, data science;n/a
Data Science Manager;USD;2-3;Delhi, Delhi/NCR;fundamentals, python, machine learning, apache, infrastructure, oops;n/a
Data Science Manager;USD;2-3;Bengaluru;fundamentals, python, machine learning, apache, infrastructure, oops;n/a
Head Data Science;USD;4-7;Bengaluru, Chennai;data analytics, big data analytics, consulting, data science;n/a
Data Science Specialist;USD;3-6;Hyderabad/Secunderabad;rest, python, java, data structures, machine learning, sql, nosql;n/a
Manager (Data Science);USD;4-7;Mumbai;algorithms, data mining, sql, hadoop, python, sas, problem solving, team player, mining, machine learning;n/a
Data Science Trainer;USD;3-6;Gurugram;algorithms, python, problem solving, machine learning;n/a
Advisor - Data Science;USD;5-7;Bengaluru;machine learning, natural language processing, data visualization, model development, sql database management, algorithms, bi, java, big data, rest, javascript, messaging, django, web technologies;n/a
Director Data Sciences;USD;12-15;Bengaluru;machine learning design, natural language processing, deep learning frameworks, statistical modeling, data pipeline development, fundamentals, algorithms, director, author;n/a
Specialist - Data Sciences;USD;3-5;Pune;Mandatory Skills : MLOPS, GenAI - LLMOps, Python - Data Science, Machine Learning - AIOPS, Deep Learning - AIOPS;n/a
Data Science Manager;USD;5-8;Hyderabad/Secunderabad;algorithms, c, data warehousing, sql, java, perl, big data, rest, python, c, natural language processing, sas, machine learning, ruby;n/a
Data Science Manager;USD;2-3;Delhi, Delhi/NCR;fundamentals, python, machine learning, apache, infrastructure, oops;n/a
Data Science Head;USD;10-15;Hyderabad/Secunderabad;algorithms, c, data warehousing, sql, java, perl, big data, rest, python, c, natural language processing, sas, machine learning, ruby;n/a
Data Science Manager;USD;2-3;Mumbai;fundamentals, python, machine learning, apache, infrastructure, oops;n/a
Data Science Lead;USD;3-5;Gurugram;actionable insights, Data Science, large datasets;n/a
Director Data Sciences;USD;12-15;Bengaluru;machine learning design, natural language processing, deep learning frameworks, statistical modeling, data pipeline development, fundamentals, algorithms, director, author;n/a
Specialist - Data Sciences;USD;3-5;Pune;Mandatory Skills : Fine Tuning Large Language Models, Prompt Engineering, Agentic Framework, Python AI, Flask, Kubernetes;n/a
Data Science Internship;USD;2-5;Mumbai;data science expertise, machine learning techniques, python programming, sql proficiency, statistical analysis, information technology, security, sas, problem solving, entry level;n/a
Advisor Data Science;USD;12-15;Bengaluru;data science leadership, project management strategies, machine learning expertise, statistical analysis techniques, team development coaching, bi, business solutions, data scientist, data analytics, business analytics, predictive modeling, project delivery;n/a
Specialist - Data Sciences;USD;5-7;Hyderabad/Secunderabad;Mandatory Skills : Agentic Framework, AI, Generative AI;n/a
Head Data Science;USD;10-15;Delhi, Delhi/NCR;data analytics, big data analytics, consulting, data science;n/a
Data Science Head;USD;10-15;Hyderabad/Secunderabad;algorithms, c, data warehousing, sql, java, perl, big data, rest, python, c, natural language processing, sas, machine learning, ruby;n/a
Data Science Manager;USD;4-7;Chennai;fundamentals, python, machine learning, apache, infrastructure, oops;n/a
Head of Data Science;USD;6-10;Gurugram;visualization, sql, data science, use cases, data scientist, data visualization, advanced analytics, data analysis, tableau;n/a
Data Science Specialist;USD;10-13;Bengaluru, Hyderabad/Secunderabad;data extraction techniques, machine learning tools, data pipeline optimization, data governance standards, monitoring systems implementation, workforce, leave policy, employee engagement;n/a
Manager, Data Science;USD;7-10;Bengaluru;real world evidence, team leadership, data science expertise, advanced analytics, sql and python, use cases, statistical modeling, director, consulting, ehr, written communication;n/a
Data Science Engineer;USD;3-6;Bengaluru;data analysis, web analytics, a, b testing, customer insights, statistical hypothesis, hive, sql, hadoop, big data, python, written communication;n/a
